seed,config,AA Recall %,Pep Acc %
0,Baseline (argmax),75.06632944328318,33.47457627118644
0,Option B mass-correct,73.99312507283288,29.23728813559322
0,NOVEL#11 CFID,74.80686240088916,43.64406779661017
0,NOVEL#11 CFID + mass-corr,74.28074719584473,37.28813559322034
0,NOVEL#11 CFID + SGIR,75.09714899326136,43.43220338983051
0,NOVEL#9 SGIR,74.88901142439613,36.228813559322035
0,NOVEL#10 rerank-spectral,72.22033311183266,34.32203389830508
1,Baseline (argmax),74.91647348156862,39.83050847457627
1,Option B mass-correct,74.1446274872618,33.686440677966104
1,NOVEL#11 CFID,75.41022186484243,47.45762711864407
1,NOVEL#11 CFID + mass-corr,74.33774980664013,38.347457627118644
1,NOVEL#11 CFID + SGIR,75.27392480876696,47.45762711864407
1,NOVEL#9 SGIR,74.97728896687045,40.88983050847458
1,NOVEL#10 rerank-spectral,73.2541831203788,40.46610169491525
2,Baseline (argmax),74.45513686896221,36.652542372881356
2,Option B mass-correct,74.1964991814926,29.44915254237288
2,NOVEL#11 CFID,75.20693286176905,44.06779661016949
2,NOVEL#11 CFID + mass-corr,74.43857117089208,37.07627118644068
2,NOVEL#11 CFID + SGIR,75.15010138248617,43.00847457627119
2,NOVEL#9 SGIR,74.94627810244972,33.89830508474576
2,NOVEL#10 rerank-spectral,72.66573254512492,37.92372881355932
