seed,config,AA Recall %,Pep Acc %
0,Baseline (argmax),76.32228105182465,58.47457627118644
0,Option B mass-correct,75.43189153565037,47.66949152542373
0,NOVEL#11 CFID,75.98715161493206,61.440677966101696
0,NOVEL#11 CFID + mass-corr,75.28230293840309,51.271186440677965
0,NOVEL#11 CFID + SGIR,76.0612404885598,61.016949152542374
0,NOVEL#9 SGIR,76.16195804930086,57.20338983050848
0,NOVEL#10 rerank-spectral,73.65401869958791,53.38983050847458
1,Baseline (argmax),75.96982560636103,51.059322033898304
1,Option B mass-correct,75.00173828287123,42.58474576271186
1,NOVEL#11 CFID,76.02163358361142,55.08474576271186
1,NOVEL#11 CFID + mass-corr,75.35025690824514,46.61016949152542
1,NOVEL#11 CFID + SGIR,76.1448685079447,55.720338983050844
1,NOVEL#9 SGIR,76.14843355390401,52.7542372881356
1,NOVEL#10 rerank-spectral,73.34229429493895,47.66949152542373
2,Baseline (argmax),76.33982977481361,63.983050847457626
2,Option B mass-correct,75.28232209781905,53.38983050847458
2,NOVEL#11 CFID,75.78391259392758,62.28813559322034
2,NOVEL#11 CFID + mass-corr,74.81114234495311,53.17796610169492
2,NOVEL#11 CFID + SGIR,75.77970409333324,63.13559322033898
2,NOVEL#9 SGIR,76.18662366650403,62.92372881355932
2,NOVEL#10 rerank-spectral,74.18601875463294,59.95762711864406
